fecha,ipc_imp,tcn,ln_ipc_imp,ln_tcn,dln_ipc_imp,dln_tcn
2004-01-01,65.43603829220018,6190.476190476191,4.181073150917281,8.730767291714297,NA,NA
2004-02-01,65.39237059897883,6038.35,4.180405594150168,8.705886074800786,-6.675567671132754e-4,-0.02488121691351175
2004-03-01,65.15219828626138,5974.636363636364,4.176726044924269,8.695278515305239,-0.0036795492258985263,-0.010607559495547036
2004-04-01,64.9338598201546,5730.5,4.173369210620718,8.653558065936753,-0.0033568343035508263,-0.04172044936848529
2004-05-01,64.89019212693324,5756.9047619047615,4.172696489438268,8.658155241531288,-6.727211824504309e-4,0.004597175594534875
2004-06-01,65.1303644396507,5922.272727272727,4.176390868115367,8.68647556083866,0.003694378677098875,0.028320319307372444
2004-07-01,64.75918904726919,5903.409090909091,4.170675606298495,8.683285275043213,-0.005715261816871653,-0.003190285795447778
2004-08-01,64.84652443371189,5908.818181818182,4.172023315397364,8.684201121168128,0.0013477090988684992,9.158461249150207e-4
2004-09-01,65.08669674642935,5919.333333333333,4.17572017727869,8.685979108924162,0.003696861881326008,0.001777987756033994
2004-10-01,65.17403213287206,5995,4.177061109427321,8.698681067461614,0.0013409321486310688,0.01270195853745193
2004-11-01,65.30503521253613,6100,4.179069142230566,8.716044050161402,0.002008032803245463,0.01736298269978853
2004-12-01,65.54520752525356,6185.227272727273,4.182740095794025,8.729919029944085,0.003670953563458923,0.013874979782682928
2005-01-01,66.22205677018458,6276.666666666667,4.1930135912891995,8.74459433298309,0.010273495495174423,0.014675303039004106
2005-02-01,67.11724448122234,6311,4.206441007699159,8.75004942158424,0.013427416409959925,0.005455088601150848
2005-03-01,67.9250968058174,6262.25,4.2184055804982545,8.742294824436609,0.01196457279909513,-0.007754597147631159
2005-04-01,68.58011220413773,6267.75,4.228002583139265,8.743172717549655,0.009597002641010377,8.778931130457579e-4
2005-05-01,69.19145990923668,6242.727272727273,4.236877443291538,8.739172428816351,0.008874860152273456,-0.004000288733303492
2005-06-01,69.62813684145024,6129.318181818182,4.243168750610676,8.720838796287069,0.006291307319137296,-0.01833363252928244
2005-07-01,70.08664762027448,6020.476190476191,4.24973229972468,8.70292163658252,0.006563549114003919,-0.01791715970454888
2005-08-01,70.98183533131225,5996.818181818182,4.262424003904523,8.698984304519506,0.012691704179843555,-0.003937332063014054
2005-09-01,71.26567533725105,6110.238095238095,4.266414799684616,8.717721019530478,0.0039907957800924265,0.01873671501097185
2005-10-01,71.78968765590731,6118.809523809524,4.273740839776688,8.719122834331118,0.0073260400920727164,0.0014018148006407216
2005-11-01,72.24819843473153,6127.5,4.28010739152223,8.720542115402267,0.006366551745541571,0.001419281071148859
2005-12-01,72.42286920761696,6109.523809523809,4.282522122547671,8.717604112880304,0.002414731025440986,-0.002938002521963412
2006-01-01,72.42286920761696,6125.909090909091,4.282522122547671,8.72028244740489,0,0.002678334524585324
2006-02-01,72.8595461398305,6059,4.288533562351992,8.70930004894499,0.0060114398043209505,-0.010982398459900011
2006-03-01,73.14338614576931,5884.090909090909,4.29242170841973,8.680007531821367,0.0038881460677382407,-0.02929251712362202
2006-04-01,73.16521999237999,5796.666666666667,4.292720171337929,8.66503831868022,2.984629181987941e-4,-0.014969213141148074
2006-05-01,73.07788460593727,5595.714285714285,4.291525784811944,8.629756277604564,-0.00119438652598447,-0.03528204107565536
2006-06-01,73.36172461187608,5615.238095238095,4.295402336557868,8.633239269699741,0.0038765517459236065,0.0034829920951775506
2006-07-01,73.3398907652654,5491.9047619047615,4.295104673212911,8.611030425496562,-2.9766334495739954e-4,-0.022208844203179368
2006-08-01,73.25255537882269,5423.181818181818,4.2939131330064,8.59843797351153,-0.0011915402065101333,-0.012592451985032227
2006-09-01,73.27438922543338,5398.25,4.294211151187715,8.593830105954941,2.9801818131414137e-4,-0.004607867556588374
2006-10-01,73.14338614576931,5344.772727272727,4.29242170841973,8.583874301932616,-0.0017894427679845393,-0.009955804022325765
2006-11-01,73.16521999237999,5396.363636363636,4.292720171337929,8.593480605042892,2.984629181987941e-4,0.009606303110276215
2006-12-01,73.09971845254796,5313.1578947368425,4.291824515209984,8.577941644574544,-8.956561279447328e-4,-0.015538960468347796
2007-01-01,72.96871537288388,5200.681818181818,4.290030792755957,8.556545014855308,-0.0017937224540274244,-0.02139662971923606
2007-02-01,72.83771229321982,5204,4.288233847079256,8.557182839632397,-0.0017969456767010783,6.378247770886247e-4
2007-03-01,72.7503769067771,5090.952380952381,4.287034086887351,8.535220200284122,-0.0011997601919047085,-0.021962639348274138
2007-04-01,72.61937382711305,5023.1578947368425,4.285231743353491,8.521814077605358,-0.0018023435338596627,-0.013406122678764731
2007-05-01,72.64120767372373,5045.714285714285,4.285532359619094,8.526294505662582,3.006162656031819e-4,0.004480428057224373
2007-06-01,73.95123847036436,5069.5,4.30340593641839,8.530997472392635,0.017873576799295243,0.004702966730052438
2007-07-01,74.9774292610662,5110.681818181818,4.317187125058039,8.539088102512617,0.0137811886396495,0.008090630119982123
2007-08-01,75.93811851193603,5096.136363636364,4.3299187785148465,8.536237955849316,0.01273165345680738,-0.0028501466633006345
2007-09-01,76.22195851787482,5012.5,4.3336495907056545,8.519690071614825,0.003730812190807953,-0.01654788423449105
2007-10-01,76.3311277509282,4952.826086956522,4.335080820376044,8.507713619304,0.0014312296703895555,-0.011976452310824115
2007-11-01,76.54946621703499,4714.318181818182,4.337937149081798,8.45835957842193,0.002856328705753697,-0.049354040882070294
2007-12-01,76.74597083653107,4716.5,4.3405008878453835,8.458822278089908,0.0025637387635857323,4.626996679775175e-4
2008-01-01,77.0529547198772,4704.090909090909,4.344492909114921,8.456187815303903,0.00399202126953746,-0.0026344627860055425
2008-02-01,78.12739831158864,4672.857142857143,4.3583408059737145,8.449525971477117,0.013847896858793618,-0.006661843826785585
2008-03-01,77.89716039907904,4524.736842105263,4.355389500339134,8.41731469800205,-0.002951305634580237,-0.032211273475066804
2008-04-01,78.05065234075211,4274.090909090909,4.357358004911807,8.360326705912806,0.0019685045726722805,-0.05698799208924399
2008-05-01,78.51112816577128,4072.5,4.363240374814873,8.3120123404762,0.00588236990306612,-0.04831436543660672
2008-06-01,78.51112816577128,3969,4.363240374814873,8.286269452783065,0,-0.025742887693134264
2008-07-01,78.66462010744435,3962.8260869565215,4.365193500435755,8.284712708037873,0.0019531256208820125,-0.0015567447451925176
2008-08-01,79.04834996162701,3974.5,4.3700596900869275,8.287654233013168,0.004866189651172803,0.0029415249752950956
2008-09-01,79.2785878741366,3986.6666666666665,4.372968077982884,8.290710738836513,0.002908387895956821,0.003056505823344935
2008-10-01,81.504221028396,4351.95652173913,4.40065481066513,8.378380798076666,0.02768673268224564,0.08767005924015336
2008-11-01,82.42517267843438,4799,4.411890883932056,8.476162841858246,0.011236073266926105,0.09778204378157973
2008-12-01,82.11818879508824,4874.285714285715,4.408159536319198,8.491728852550303,-0.0037313476128577605,0.015566010692056764
2009-01-01,81.81120491174212,4978.571428571428,4.404414213589036,8.512898267133357,-0.0037453227301620373,0.021169414583054547
2009-02-01,82.11818879508824,5085.75,4.408159536319198,8.534197790232062,0.0037453227301620373,0.021299523098704753
2009-03-01,82.27168073676131,5124.545454545455,4.410026950493993,8.541797108277251,0.001867414174794746,0.007599318045189207
2009-04-01,81.88795088257866,5034.5,4.405351860164999,8.52406949535567,-0.004675090328993825,-0.01772761292158087
2009-05-01,81.88795088257866,5026.8421052631575,4.405351860164999,8.522547253862342,0,-0.0015222414933280248
2009-06-01,81.88795088257866,5016.190476190476,4.405351860164999,8.520426055313957,0,-0.00212119854838555
2009-07-01,82.19493476592477,4998.695652173913,4.4090936793109945,8.516932287818635,0.003741819145995251,-0.003493767495321265
2009-08-01,82.11818879508824,4944.761904761905,4.408159536319198,8.506084094214494,-9.341429917961719e-4,-0.010848193604141798
2009-09-01,82.11818879508824,4923.809523809524,4.408159536319198,8.501837803333043,0,-0.004246290881450676
2009-10-01,81.96469685341519,4870,4.406288628383386,8.490849216076635,-0.0018709079358121272,-0.010988587256408167
2009-11-01,81.88795088257866,4828.571428571428,4.405351860164999,8.482305932415796,-9.367682183869519e-4,-0.008543283660838341
2009-12-01,81.19723714504987,4649.047619047619,4.3968812212814905,8.444417664496294,-0.008470638883508741,-0.03788826791950228
2010-01-01,81.35072908672294,4655.5,4.398769795969359,8.445804595328584,0.001888574687868072,0.001386930832289579
2010-02-01,81.7344589409056,4694.75,4.403475687006772,8.454200142088316,0.004705891037413146,0.008395546759732753
2010-03-01,81.81120491174212,4693.909090909091,4.404414213589036,8.45402100913972,9.38526582264565e-4,-1.7913294859717155e-4
2010-04-01,82.04144282425172,4700.1,4.407224519888292,8.455339064067552,0.002810306299255494,0.001318054927832435
2010-05-01,82.42517267843438,4726.952380952381,4.411890883932056,8.461035956901238,0.004666364043764304,0.005696892833686462
2010-06-01,82.9623944742901,4752.090909090909,4.418387426502455,8.46633999156044,0.006496542570398667,0.005304034659202372
2010-07-01,83.42287029930928,4757,4.423922495984455,8.467372496432281,0.005535069482000665,0.0010325048718407004
2010-08-01,83.57636224098235,4755.772727272727,4.425760731796207,8.467114470140839,0.0018382358117516873,-2.5802629144244804e-4
2010-09-01,83.42287029930928,4783.476190476191,4.423922495984455,8.472922797678468,-0.0018382358117516873,0.005808327537629054
2010-10-01,83.88334612432847,4917.142857142857,4.429427097039785,8.500482920710217,0.005504601055329239,0.027560123031749484
2010-11-01,84.57405986185725,4796.636363636364,4.437627598576106,8.475670193674869,0.008200501536321347,-0.024812727035348203
2010-12-01,84.49731389102071,4570.227272727273,4.436719745585926,8.427318214101852,-9.078529901795918e-4,-0.048351979573016735
2011-01-01,85.03453568687642,4592.428571428572,4.443057476170475,8.43216426365936,0.006337730584548673,0.004846049557507115
2011-02-01,85.41826554105909,4587.4,4.447559960138791,8.431068693760116,0.0045024839683156515,-0.0010955698992436425
2011-03-01,85.57175748273215,4323.090909090909,4.449355292757465,8.371725913613977,0.0017953326186743723,-0.05934278014613881
2011-04-01,84.88104374520337,4051.1052631578946,4.441250790945526,8.306745027352362,-0.008104501811939002,-0.06498088626161547
2011-05-01,84.9577897160399,3994.3333333333335,4.442154541571883,8.292631969014407,9.037506263567252e-4,-0.014113058337954953
2011-06-01,86.26247122026093,3994.9545454545455,4.457394639316883,8.29278748027696,0.015240097745000014,1.5551126255353154e-4
2011-07-01,86.1857252494244,3926.0476190476193,4.45650456360169,8.275388503914051,-8.900757151932837e-4,-0.01739897636290877
2011-08-01,85.87874136607827,3873.0454545454545,4.452936317175172,8.261796415708588,-0.0035682464265178737,-0.013592088205463426
2011-09-01,86.10897927858787,3996.5714285714284,4.455613694945888,8.293192129687899,0.002677377770716305,0.03139571397931107
2011-10-01,86.64620107444358,4168.428571428572,4.461833173012908,8.335294402386253,0.00621947806702039,0.042102272698354426
2011-11-01,87.56715272448196,4309,4.4724059587253215,8.368461137615839,0.010572785712413157,0.03316673522958524
2011-12-01,88.64159631619339,4431.666666666667,4.48460123181914,8.39653101500901,0.012195273093818848,0.028069877393171794
2012-01-01,89.63929393706829,4596.545454545455,4.495793772251418,8.433060312202038,0.011192540432277909,0.03652929719302733
2012-02-01,90.79048349961626,4455.285714285715,4.508554472841633,8.401846471245918,0.012760700590214391,-0.03121384095612001
2012-03-01,90.63699155794319,4284.047619047619,4.506862425060608,8.362653547063196,-0.0016920477810247192,-0.039192924182721356
2012-04-01,90.8672294704528,4305.473684210527,4.5093994243071975,8.367642441984346,0.0025369992465895663,0.0049888949211496225
2012-05-01,91.17421335379892,4369.1,4.512772108785836,8.382312317222343,0.00337268447863881,0.014669875237997232
2012-06-01,91.55794320798157,4529.9,4.5169720309611625,8.418455143178234,0.004199922175326165,0.036142825955890245
2012-07-01,91.48119723714504,4438,4.516133456488541,8.39795910349254,-8.385744726213673e-4,-0.020496039685694356
2012-08-01,91.4044512663085,4411.450789473685,4.5152941782185465,8.391958891544673,-8.392782699946366e-4,-0.006000211947865708
2012-09-01,91.48119723714504,4424.585999999999,4.516133456488541,8.39493199374305,8.392782699946366e-4,0.0029731021983767647
2012-10-01,92.01841903300077,4455.012391304348,4.521988763890761,8.401785121338605,0.005855307402219623,0.006853127595555009
2012-11-01,92.0951650038373,4460.152045454546,4.5228224446393375,8.402938135342119,8.336807485767039e-4,0.0011530140035134195
2012-12-01,91.8649270913277,4288.768888888888,4.5203193144212195,8.363754998450665,-0.002503130218117988,-0.03918313689145414
2013-01-01,91.48119723714504,4187.540909090909,4.516133456488541,8.339868945420745,-0.0041858579326783385,-0.023886053029919196
2013-02-01,90.56024558710666,4024.5557500000004,4.506015326322957,8.300169811090345,-0.010118130165584382,-0.03969913433039984
2013-03-01,90.09976976208749,4002.1261111111107,4.500917609251288,8.294581026668952,-0.005097717071668839,-0.0055887844213931
2013-04-01,90.25326170376054,4096.221590909092,4.502619737321818,8.317820264599067,0.0017021280705300512,0.023239237930114953
2013-05-01,90.56024558710666,4197.4455,4.506015326322957,8.342231404948405,0.003395589001138788,0.024411140349338112
2013-06-01,91.25095932463545,4403.786578947369,4.513613505554028,8.390220035938832,0.0075981792310715335,0.04798863099042627
2013-07-01,92.0951650038373,4464.630652173913,4.5228224446393375,8.40394176921132,0.009208939085309176,0.013721733272488379
2013-08-01,92.24865694551035,4429.567142857142,4.524487723958399,8.396057147849213,0.0016652793190612414,-0.007884621362107325
2013-09-01,92.32540291634687,4446.421666666666,4.525319324837925,8.39985493183231,8.316008795263841e-4,0.0037977839830976023
2013-10-01,92.24865694551035,4444.598478260868,4.524487723958399,8.399444812767989,-8.316008795263841e-4,-4.1011906432153467e-4
2013-11-01,92.32540291634687,4425.682857142858,4.525319324837925,8.395179863534619,8.316008795263841e-4,-0.004264949233370174
2013-12-01,92.70913277052954,4520.29625,4.529466987358006,8.41633281271389,0.004147662520081141,0.02115294917927102
2014-01-01,92.93937068303913,4635.217499999999,4.5319473524163385,8.441438402465328,0.002480365058332268,0.02510558975143873
2014-02-01,92.8626247122026,4512.64525,4.531121247454033,8.414638790488754,-8.261049623055072e-4,-0.026799611976574766
2014-03-01,92.8626247122026,4423.77761904762,4.531121247454033,8.394749274996526,0,-0.019889515492227616
2014-04-01,93.01611665387567,4433.22675,4.532772775492506,8.396882983899355,0.0016515280384732378,0.0021337089028286016
2014-05-01,93.16960859554872,4421.633684210527,4.5344215804826895,8.394264518594461,0.0016488049901832724,-0.0026184653048932915
2014-06-01,93.16960859554872,4404.765,4.5344215804826895,8.390442188479549,0,-0.003822330114912731
